City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
33,Saint George,US,2021-12-02 02:30:08,37.1041,-113.5841,63.36,30,1,1.01
34,Albany,US,2021-12-02 02:34:35,42.6001,-73.9662,35.31,82,100,4.23
35,Saskylakh,RU,2021-12-02 02:34:36,71.9167,114.0833,-35.36,100,98,1.39
36,Tayug,PH,2021-12-02 02:34:36,16.0274,120.7434,83.35,50,80,5.61
37,Jasper,US,2021-12-02 02:34:36,37.2001,-94.3502,55.35,56,1,1.01
38,Butaritari,KI,2021-12-02 02:34:37,3.0707,172.7902,82.27,76,72,11.83
39,Codrington,AU,2021-12-02 02:34:37,-38.2667,141.9667,63.19,76,76,14.32
40,Qaanaaq,GL,2021-12-02 02:34:38,77.484,-69.3632,5.56,68,12,6.89
41,San Policarpo,PH,2021-12-02 02:34:38,12.1791,125.5072,80.24,86,100,14.32
42,Bosaso,SO,2021-12-02 02:34:39,11.2842,49.1816,72.12,58,0,3.53
43,Warrnambool,AU,2021-12-02 02:34:39,-38.3833,142.4833,70.81,75,96,15.66
44,Berga,NO,2021-12-02 02:34:40,60.392,5.328,32.65,80,0,9.22
45,Garden City,US,2021-12-02 02:30:37,42.3256,-83.331,42.75,96,90,9.22
46,Patancheru,IN,2021-12-02 02:34:41,17.5314,78.265,68.86,77,12,8.66
47,Korla,CN,2021-12-02 02:34:42,41.7597,86.1469,25.7,61,1,2.66
48,Tura,IN,2021-12-02 02:35:42,25.5198,90.2201,72.7,54,10,2.39
49,Thompson,CA,2021-12-02 02:35:42,55.7435,-97.8558,-2.04,78,75,9.22
50,Buta,CD,2021-12-02 02:35:43,2.7858,24.73,69.78,99,99,0.96
51,Rocha,UY,2021-12-02 02:35:43,-34.4833,-54.3333,53.89,84,66,3.6
52,Kodiak,US,2021-12-02 02:35:44,57.79,-152.4072,17.11,79,90,35.68
53,Sydney,AU,2021-12-02 02:35:17,-33.8679,151.2073,87.31,69,20,1.99
54,Kuala Sungai Baru,MY,2021-12-02 02:35:44,2.3594,102.0353,77.14,67,74,6.6
55,Portree,GB,2021-12-02 02:35:45,57.4129,-6.1942,38.86,73,85,15.08
56,Rikitea,PF,2021-12-02 02:35:45,-23.1203,-134.9692,76.24,74,2,18.03
57,Clyde River,CA,2021-12-02 02:35:46,70.4692,-68.5914,7.03,85,100,18.41
58,Khatanga,RU,2021-12-02 02:35:46,71.9667,102.5,-40.88,100,92,1.23
59,Hermanus,ZA,2021-12-02 02:35:47,-34.4187,19.2345,57.9,73,75,8.01
60,Cristobal Obregon,MX,2021-12-02 02:35:47,16.35,-93.5333,70.86,92,52,3.91
61,Vaini,TO,2021-12-02 02:35:48,-21.2,-175.2,84.36,84,20,13.8
62,Lata,PT,2021-12-02 02:35:48,40.1629,-8.3327,52.92,90,100,12.01
63,Vao,NC,2021-12-02 02:35:49,-22.6667,167.4833,76.86,78,54,16.22
64,Atuona,PF,2021-12-02 02:35:49,-9.8,-139.0333,78.8,76,63,21.03
65,Atasu,KZ,2021-12-02 02:35:50,48.6814,71.6433,24.37,74,100,8.41
66,Nishihara,JP,2021-12-02 02:35:50,26.1842,127.7558,65.86,73,75,13.8
67,Praia,CV,2021-12-02 02:35:50,14.9215,-23.5087,73.94,73,75,17.27
